Geneid,Genesymbol,Genetype,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000165509,MAGEC3,protein_coding,0,3,0,1,1,0,0,0
ENSG00000165512,ZNF22,protein_coding,4,7,7,10,2931,882,801,2129
ENSG00000165516,KLHDC2,protein_coding,1809,1955,1635,1923,1283,438,481,1313
ENSG00000165521,EML5,protein_coding,68,103,381,450,60,12,31,73
ENSG00000165525,NEMF,protein_coding,4717,5258,5422,5683,1528,458,490,1578
ENSG00000165526,RPUSD4,protein_coding,755,789,964,1315,327,122,152,446
ENSG00000165527,ARF6,protein_coding,9030,10135,9723,11046,4729,1493,1494,4163
ENSG00000165533,TTC8,protein_coding,2104,2401,2648,3167,450,132,161,516
ENSG00000165548,TMEM63C,protein_coding,1246,1335,901,1284,52,24,16,67
ENSG00000165555,NOXRED1,protein_coding,14,12,15,16,7,3,5,12
ENSG00000165556,CDX2,protein_coding,5,5,0,1,0,1,1,5
ENSG00000165566,AMER2,protein_coding,0,1,0,0,2,0,0,0
ENSG00000165572,KBTBD6,protein_coding,1484,1810,1995,2129,109,26,69,172
ENSG00000165584,SSX3,protein_coding,4,4,6,10,0,0,0,0
ENSG00000165591,FAAH2,protein_coding,249,328,283,443,19,7,9,19
ENSG00000165606,DRGX,protein_coding,0,0,2,1,53,10,0,15
ENSG00000165609,NUDT5,protein_coding,2533,3157,2777,3486,1524,470,592,1416
ENSG00000165617,DACT1,protein_coding,0,0,1,0,31,11,21,46
ENSG00000165621,OXGR1,protein_coding,2,0,0,0,1,0,0,1
ENSG00000165626,BEND7,protein_coding,218,280,191,257,220,63,99,247
ENSG00000165629,ATP5F1C,protein_coding,10757,12601,13483,14942,5351,1760,1761,4983
ENSG00000165630,PRPF18,protein_coding,1016,1088,884,999,208,72,93,236
ENSG00000165632,TAF3,protein_coding,604,689,578,658,157,47,58,224
ENSG00000165633,VSTM4,protein_coding,1,0,0,0,226,81,81,231
ENSG00000165637,VDAC2,protein_coding,1079,1122,1155,1708,630,216,225,470
ENSG00000165643,SOHLH1,protein_coding,1,4,0,0,0,0,0,0
ENSG00000165644,COMTD1,protein_coding,184,165,201,429,87,52,53,146
ENSG00000165646,SLC18A2,protein_coding,0,0,4,3,0,0,0,0
ENSG00000165650,PDZD8,protein_coding,2857,3483,3052,3094,3327,989,1110,3176
ENSG00000165655,ZNF503,protein_coding,151,208,124,214,303,104,163,421
ENSG00000165660,ABRAXAS2,protein_coding,1181,1352,1202,1259,796,261,257,850
ENSG00000165661,QSOX2,protein_coding,1793,1900,1565,2257,305,79,166,362
ENSG00000165669,FAM204A,protein_coding,1427,1692,1170,1287,801,248,251,680
ENSG00000165671,NSD1,protein_coding,6485,7715,7474,8074,2201,692,956,2639
ENSG00000165672,PRDX3,protein_coding,6259,7610,8787,9824,611,221,252,690
ENSG00000165675,ENOX2,protein_coding,497,562,675,718,182,65,78,197
ENSG00000165678,GHITM,protein_coding,14257,16553,15821,17906,4311,1333,1323,3265
ENSG00000165684,SNAPC4,protein_coding,960,1164,861,1268,130,49,69,201
ENSG00000165685,TMEM52B,protein_coding,0,3,0,2,0,0,0,0
ENSG00000165688,PMPCA,protein_coding,1986,2230,2452,3103,303,92,161,338
ENSG00000165689,ENTR1,protein_coding,2265,2580,2735,3567,124,47,67,207
ENSG00000165695,AK8,protein_coding,99,79,85,147,9,7,4,17
ENSG00000165698,SPACA9,protein_coding,131,137,262,315,21,11,10,19
ENSG00000165699,TSC1,protein_coding,2341,2624,2611,3154,2156,737,695,2001
ENSG00000165702,GFI1B,protein_coding,4,6,2,1,2,2,2,5
ENSG00000165704,HPRT1,protein_coding,2880,3097,2844,3318,2005,645,486,1469
ENSG00000165714,BORCS5,protein_coding,331,382,379,490,59,27,38,85
ENSG00000165716,DIPK1B,protein_coding,586,538,527,781,176,81,91,257
ENSG00000165724,ZMYND19,protein_coding,1141,1344,1116,1484,319,80,172,430
ENSG00000165730,STOX1,protein_coding,27,51,105,154,99,47,65,193
ENSG00000165731,RET,protein_coding,36,26,13,47,7,3,6,8
ENSG00000165732,DDX21,protein_coding,19978,23496,24934,26198,2271,597,1050,2964
ENSG00000165733,BMS1,protein_coding,6624,7626,6441,7307,452,141,173,533
