"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000188610",152.438734620198,-0.682458678903368,0.261261614512446,-2.61216589423953,0.00899705843883606,0.0308904175850015
"ENSG00000259956",3525.34903441068,0.28293433357654,0.108383377550205,2.61049563108033,0.00904111267967794,0.0310340310420358
"ENSG00000158711",3663.1849157832,0.306748539309732,0.117534256471364,2.6098649748507,0.00905779666085754,0.0310836472661424
"ENSG00000157637",1327.71228889451,-0.3673698678089,0.140767004038587,-2.60977258355373,0.009060243175471,0.0310843923709626
"ENSG00000178694",676.98088342721,-0.427995295240175,0.164078181456834,-2.6084839034663,0.00909442888610943,0.0311940029419493
"ENSG00000064989",15.8006123018992,1.88279492434066,0.721894702766985,2.60812957502529,0.00910384856440881,0.031218632693938
"ENSG00000103111",1567.27548503083,-0.307371633400064,0.117855478210904,-2.60803857458384,0.00910626917964152,0.0312192552672097
"ENSG00000157036",225.199978179963,-0.539390257879333,0.20684218277019,-2.60773818306983,0.00911426368472812,0.0312389819459597
"ENSG00000175701",180.542949221882,-0.731031015663599,0.280370382667649,-2.60737603133411,0.0091239101825439,0.0312566780528771
"ENSG00000237289",406.900156000983,-0.441665760384358,0.169386570468263,-2.60744260399976,0.00912213622838816,0.0312566780528771
"ENSG00000172888",1353.43027189185,0.340768059060102,0.130749424053756,2.60626814631321,0.00915347710738434,0.0313502656124441
"ENSG00000162961",1095.55028049451,-0.329563119664762,0.126471352778431,-2.6058321700894,0.00916513574916771,0.0313824871686261
"ENSG00000101365",1423.97932684317,0.327975517771696,0.125875135564347,2.60556237974445,0.00917235697468575,0.0313917951148855
"ENSG00000150977",342.837185118483,0.493333636674547,0.189334930356179,2.60561342667454,0.00917099025989837,0.0313917951148855
"ENSG00000167552",2901.04096570063,1.75209612888854,0.672490350959951,2.60538478565157,0.00917711324079271,0.0314003656236497
"ENSG00000162490",10.3322755386233,2.39812319346736,0.920650191697752,2.60481474407237,0.00919239478191416,0.0314449363209591
"ENSG00000066697",469.987466865392,0.432455014703996,0.166062431414363,2.60417128076924,0.00920967188009055,0.0314963097925196
"ENSG00000121578",813.396932166717,0.35850836797856,0.137679567768615,2.60393298576497,0.00921607749108735,0.0315104876062361
"ENSG00000067704",4123.35870323248,0.309074130789598,0.118719644181895,2.60339502295049,0.00923055309918751,0.0315522436533394
"ENSG00000229544",12.2292512110012,2.14334410482898,0.82383792258112,2.60165749364121,0.00927744558085283,0.0317047607190762
"ENSG00000067208",569.271999047166,0.388763548920999,0.149468936175442,2.60096551744156,0.00929617975872637,0.0317594838529719
"ENSG00000117586",81.1693800888949,0.886105182212477,0.340692298593734,2.60089584023481,0.009298068029915,0.0317594838529719
"ENSG00000174206",333.911317641116,-0.465388833847431,0.178939697977264,-2.60081378871313,0.00930029208718959,0.0317594838529719
"ENSG00000161328",150.779861761496,0.635646892995818,0.244497245646123,2.59981208097465,0.00932748229141375,0.0318445361383893
"ENSG00000111647",1264.24364368944,0.389512847083619,0.149849973511319,2.59935212503856,0.00933999100935832,0.0318794356532394
"ENSG00000196236",1130.39116198303,-0.333994551711065,0.128527394401803,-2.5986254001768,0.00935978513935259,0.0319391787072915
"ENSG00000164070",1640.03818504558,-0.357976387426021,0.137780703962914,-2.59816053431094,0.00937246651707738,0.0319746270241277
"ENSG00000174989",669.935472457561,-0.377638575404484,0.14535428536634,-2.59805601501678,0.00937531987646911,0.0319765374358143
"ENSG00000100823",5758.04864771358,-0.266964155174003,0.10276844093122,-2.59772506768566,0.00938435979609477,0.0319838984690661
